transaction_id,date,description,amount,account,category,pending
ff1149ad-f05a-40b5-94cc-0fd1540eb82c,2025-05-01,INTERAC E-TFR RENT,-1086.98,CIBC Checking,rent,True
219ebcd9-db43-4e72-89b0-2cd33de7fd4b,2025-05-01,GOODLIFE FITNESS,-59.51,Amex Cobalt,subscriptions,False
efdabb7e-6586-4b9c-a75f-7535726dd093,2025-05-01,METRO #1204,-141.21,CIBC Checking,groceries,False
0bebe21e-49c0-4e2c-910e-bd017d381eb5,2025-05-02,POKE BOX DOWNTOWN,-32.27,Amex Cobalt,dining,True
7d3e3461-5c67-444d-8c1c-cd9c2916a72e,2025-05-03,BURRITO BOYZ,-40.85,Amex Cobalt,dining,False
d854dab3-3c76-46b6-8358-6dbc30d2453c,2025-05-03,PIZZA PIZZA #2211,-54.44,Simplii Visa,dining,False
d92ffe59-ca88-4578-8e6a-68b79fc97895,2025-05-03,TTC PRESTO RELOAD,-6.07,CIBC Checking,transit,False
beec3328-cae2-422c-8cac-cc4b14a7f1b2,2025-05-05,SPOTIFY CA,-8.28,Amex Cobalt,subscriptions,False
54fa022d-82ba-4fbd-bd69-3120a9d01f0d,2025-05-05,GO TRANSIT FARE,-18.01,CIBC Checking,transit,False
4162f3db-797a-4d06-bfa7-c107e4856f56,2025-05-05,TICKETMASTER CA,-41.48,Amex Cobalt,entertainment,False
e5302328-109d-4ff1-87af-31f2875a721e,2025-05-07,FRESHII KING ST,-30.73,Simplii Visa,dining,False
9d3d886d-e5ec-4d80-b3d3-5781829e496d,2025-05-07,POKE BOX DOWNTOWN,-51.3,Simplii Visa,dining,False
081cb24b-f9a4-4cb9-a930-56646a052bbc,2025-05-08,FRESHCO DANFORTH,-107.26,CIBC Checking,groceries,False
464d6696-861c-4fe8-aba3-835188640563,2025-05-08,SOBEYS EXPRESS,-83.21,Simplii Visa,groceries,False
285d4ffc-9c39-4481-a680-90bec812e112,2025-05-08,TIM HORTONS #4421,-19.8,Simplii Visa,dining,False
a887f56e-7e9b-4903-8fab-8261f008ddf5,2025-05-09,TORONTO HYDRO,-154.33,CIBC Checking,utilities,False
c707fc49-7013-42d2-9eff-964e20f61b57,2025-05-09,OSMOW'S SHAWARMA,-11.32,Amex Cobalt,dining,False
fd7601a0-ebd8-4432-ab7f-9b33a6641b95,2025-05-09,INDIGO BOOKS,-127.36,Capital One Mastercard,shopping,False
da43a4c0-c3b2-4655-bd79-e58b6f2f7dbe,2025-05-12,NETFLIX.COM,-18.18,Amex Cobalt,subscriptions,False
1dc9d44c-cf67-4ab8-b9bc-0e523c83f160,2025-05-12,HARVEYS YONGE,-47.42,Simplii Visa,dining,False
af8f949d-add9-4153-843b-621c51134472,2025-05-12,HARVEYS YONGE,-58.31,Amex Cobalt,dining,False
95e667c2-1730-4864-8b82-b1dd8f2ec791,2025-05-12,UBER TRIP 8X9K,-9.34,CIBC Checking,transit,False
d15ed65d-0628-4123-8d04-b6bb267479a9,2025-05-13,MCDONALD'S BLOOR,-43.52,Simplii Visa,dining,False
516430a8-4db8-4332-a042-e7d8c44f2e3f,2025-05-13,MCDONALD'S BLOOR,-42.83,Amex Cobalt,dining,False
642d4e84-71d1-4d8d-add8-e5efb115bf8b,2025-05-13,DOLLARAMA #0447,-57.17,Capital One Mastercard,shopping,False
310d0a58-40a7-4be7-82bf-91b25eaad3fb,2025-05-15,CIBC PAYROLL DEPOSIT,2658.32,CIBC Checking,income,False
c6a908cc-73dd-410c-ae5e-e6c384124a58,2025-05-15,BURRITO BOYZ,-17.85,Simplii Visa,dining,False
c2bcc827-471e-4f9d-82ce-5b6d4e951713,2025-05-18,LOBLAWS STORE 4821,-128.73,Simplii Visa,groceries,False
a166f325-df93-4533-bd1e-542f59e82994,2025-05-18,STARBUCKS YORKVILLE,-58.48,Simplii Visa,dining,False
663b942e-d42c-440d-ac3b-752ac0efc2cd,2025-05-18,SUBWAY #8834,-32.42,Amex Cobalt,dining,False
2bd21d5a-6977-4853-935c-934ea04a6d31,2025-05-19,SOBEYS EXPRESS,-74.5,CIBC Checking,groceries,False
e62c5912-b703-4401-a34a-f714223a846f,2025-05-19,SUBWAY #8834,-18.12,Amex Cobalt,dining,False
50ed3f4d-5f4f-46ab-b684-fc9240820458,2025-05-20,AMAZON PRIME CA,-9.52,Amex Cobalt,subscriptions,False
5380a8ff-eb85-4624-8efd-9379090b82c1,2025-05-20,POKE BOX DOWNTOWN,-27.26,Amex Cobalt,dining,False
8922bb13-7a99-4287-9da5-2816d83bcab2,2025-05-20,CINEPLEX ODEON,-38.21,Amex Cobalt,entertainment,False
50947c7f-d338-4190-b029-8cc371a6737a,2025-05-21,HARVEYS YONGE,-46.73,Amex Cobalt,dining,False
e2868889-0237-4a14-a917-57540fc7d346,2025-05-22,FARM BOY QUEEN ST,-84.05,CIBC Checking,groceries,False
79db7948-f365-4448-8e9b-f5d35aa04ba9,2025-05-22,MCDONALD'S BLOOR,-24.94,Amex Cobalt,dining,False
02211dce-9659-4451-8210-9c02a3bb3fcc,2025-05-22,HARVEYS YONGE,-32.74,Amex Cobalt,dining,False
ffea132c-0bae-4c18-856a-ea91155fbc15,2025-05-23,BURRITO BOYZ,-36.84,Simplii Visa,dining,True
75c4a772-5929-466e-a30a-da82cd19105e,2025-05-24,UNIQLO TORONTO,-123.64,Amex Cobalt,shopping,False
da2331f4-18ff-4f71-8cca-c7339eee4e01,2025-05-25,MCDONALD'S BLOOR,-10.28,Amex Cobalt,dining,False
517cbb59-9e96-4394-a423-70c4198a8d9e,2025-05-26,TIM HORTONS #4421,-19.82,Amex Cobalt,dining,False
f08f1a98-03a8-4806-9f6a-80ae679eb071,2025-05-26,TIM HORTONS #4421,-26.44,Simplii Visa,dining,False
